Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Colombia;FMCG;Occasions Share %;Discounters;MAT Q4.25;25;
Guatemala;FMCG;Occasions Share %;Discounters;MAT Q4.24;12.6;
Costa Rica;FMCG;Occasions Share %;Discounters;MAT Q4.24;22.4;
Honduras;FMCG;Occasions Share %;Discounters;MAT Q4.24;6.6;
Republica Dominicana;FMCG;Occasions Share %;Discounters;MAT Q4.24;0;
Peru;FMCG;Occasions Share %;Discounters;MAT Q4.24;3;
Ecuador;FMCG;Occasions Share %;Discounters;MAT Q4.24;7;
Colombia;FMCG;Occasions Share %;Discounters;MAT Q4.24;21.9;
Guatemala;FMCG;Occasions Share %;Wholesalers;MAT Q4.25;0.3;
Costa Rica;FMCG;Occasions Share %;Wholesalers;MAT Q4.25;1.4;
Honduras;FMCG;Occasions Share %;Wholesalers;MAT Q4.25;0.4;
Republica Dominicana;FMCG;Occasions Share %;Wholesalers;MAT Q4.25;0.81;
Peru;FMCG;Occasions Share %;Wholesalers;MAT Q4.25;1.6;
Ecuador;FMCG;Occasions Share %;Wholesalers;MAT Q4.25;4.7;
Colombia;FMCG;Occasions Share %;Wholesalers;MAT Q4.25;1.4;
Guatemala;FMCG;Occasions Share %;Wholesalers;MAT Q4.24;0.2;
Costa Rica;FMCG;Occasions Share %;Wholesalers;MAT Q4.24;1;
Honduras;FMCG;Occasions Share %;Wholesalers;MAT Q4.24;0.4;
Republica Dominicana;FMCG;Occasions Share %;Wholesalers;MAT Q4.24;0.88;
Peru;FMCG;Occasions Share %;Wholesalers;MAT Q4.24;1.5;
Ecuador;FMCG;Occasions Share %;Wholesalers;MAT Q4.24;4.7;
Colombia;FMCG;Occasions Share %;Wholesalers;MAT Q4.24;1.1;
Guatemala;FMCG;Occasions Share %;Down The Trade;MAT Q4.25;47;
Costa Rica;FMCG;Occasions Share %;Down The Trade;MAT Q4.25;34.8;
Honduras;FMCG;Occasions Share %;Down The Trade;MAT Q4.25;54.2;
Republica Dominicana;FMCG;Occasions Share %;Down The Trade;MAT Q4.25;50.1;
Peru;FMCG;Occasions Share %;Down The Trade;MAT Q4.25;75.6;
Ecuador;FMCG;Occasions Share %;Down The Trade;MAT Q4.25;32.9;
Colombia;FMCG;Occasions Share %;Down The Trade;MAT Q4.25;36.9;
Guatemala;FMCG;Occasions Share %;Down The Trade;MAT Q4.24;52.5;
Costa Rica;FMCG;Occasions Share %;Down The Trade;MAT Q4.24;39.6;
Honduras;FMCG;Occasions Share %;Down The Trade;MAT Q4.24;58.8;
Republica Dominicana;FMCG;Occasions Share %;Down The Trade;MAT Q4.24;38.14;
Peru;FMCG;Occasions Share %;Down The Trade;MAT Q4.24;78.3;
Ecuador;FMCG;Occasions Share %;Down The Trade;MAT Q4.24;35.2;
Colombia;FMCG;Occasions Share %;Down The Trade;MAT Q4.24;39;
Guatemala;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;2.3;
Costa Rica;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;30.8;
Honduras;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;11.7;
Republica Dominicana;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;8.6;
Peru;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;1.8;
Ecuador;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;2.3;
Colombia;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.25;11.1;
Guatemala;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;1.9;
Costa Rica;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;31.8;
Honduras;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;13;
Republica Dominicana;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;8.37;
Peru;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;1.7;
Ecuador;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;1.9;
Colombia;FMCG;Occasions Share %;Minimarket + Ind. Supermarkets;MAT Q4.24;11.9;
Guatemala;FMCG;Occasions Share %;Traditional Store;MAT Q4.25;34.2;
Costa Rica;FMCG;Occasions Share %;Traditional Store;MAT Q4.25;2.7;
Honduras;FMCG;Occasions Share %;Traditional Store;MAT Q4.25;39.4;
Republica Dominicana;FMCG;Occasions Share %;Traditional Store;MAT Q4.25;41.5;
Peru;FMCG;Occasions Share %;Traditional Store;MAT Q4.25;48.5;
Ecuador;FMCG;Occasions Share %;Traditional Store;MAT Q4.25;25;
Colombia;FMCG;Occasions Share %;Traditional Store;MAT Q4.25;18.2;
Guatemala;FMCG;Occasions Share %;Traditional Store;MAT Q4.24;40.3;
Costa Rica;FMCG;Occasions Share %;Traditional Store;MAT Q4.24;5.6;
Honduras;FMCG;Occasions Share %;Traditional Store;MAT Q4.24;42.7;
Republica Dominicana;FMCG;Occasions Share %;Traditional Store;MAT Q4.24;30.1;
Peru;FMCG;Occasions Share %;Traditional Store;MAT Q4.24;49.3;
Ecuador;FMCG;Occasions Share %;Traditional Store;MAT Q4.24;28;
Colombia;FMCG;Occasions Share %;Traditional Store;MAT Q4.24;17.1;
