Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Colombia;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-23;14.8;
Colombia;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-24;15.4;
Colombia;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-25;16.8;
Peru;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-23;22.2;
Peru;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-24;20.6;
Peru;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-25;21.6;
Ecuador;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-23;37.5;
Ecuador;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-24;34.8;
Ecuador;NARTD;Incidence vs FMCG;Traditional Trade;MAT Q4-25;33.4;
Center Zone;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-23;8.25493996365434;
Center Zone;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-24;7.6687592698057;
Center Zone;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-25;7.69199988954057;
Guatemala;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-23;9.1;
Guatemala;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-24;8.3;
Guatemala;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-25;7.2;
Costa Rica;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-23;9.6;
Costa Rica;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-24;9.4;
Costa Rica;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-25;8.5;
Honduras;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-23;26.5;
Honduras;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-24;27.7;
Honduras;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-25;27.8;
Republica Dominicana;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-23;;
Republica Dominicana;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-24;5.25;
Republica Dominicana;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-25;6.95;
Colombia;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-23;4.2;
Colombia;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-24;4.4;
Colombia;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-25;4.5;
Peru;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-23;9.9;
Peru;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-24;9.2;
Peru;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-25;9.6;
Ecuador;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-23;11.5;
Ecuador;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-24;9.5;
Ecuador;TCCC;Incidence vs FMCG;Total Channels;MAT Q4-25;8.1;
Center Zone;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-23;5.85303861882847;
Center Zone;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-24;5.73173038509796;
Center Zone;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-25;5.71543146346279;
Guatemala;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-23;4.3;
Guatemala;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-24;6;
Guatemala;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-25;6.9;
Costa Rica;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-23;8.3;
Costa Rica;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-24;8.3;
Costa Rica;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-25;7.2;
Honduras;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-23;9.4;
Honduras;TCCC;Incidence vs FMCG;Modern Trade;MAT Q4-24;11.5;
